locality,Price,Type_property,Sale_type,Number_bedrooms,Living_area,fully_equipped_kitchen,Furnished,terrace,garden,surface_land,surface_area_plot,facades_number,Swimming_pool,building_state,fire_place
borsbeek,298000,house,for-sale,3,120,None,0,12,100,120,219,2,None,To be done up,None
willebroek,329000,house,for-sale,3,145,1,0,30,None,145,100,2,None,Just renovated,None
sint-katelijne-waver,349000,house,for-sale,3,167,1,0,None,70,167,368,3,None,To renovate,None
sint-katelijne-waver,369000,house,for-sale,3,183,1,0,None,61,183,375,3,None,To renovate,None
rumst,365000,house,for-sale,3,180,1,0,20,450,180,700,3,None,To renovate,None
ranst,397000,house,for-sale,2,180,1,0,21,389,180,480,4,0,Good,None
blaasveld,399000,house,for-sale,4,169,1,0,24,None,169,497,4,None,To renovate,None
mol,409000,villa,for-sale,4,200,1,None,None,700,200,836,4,0,Just renovated,None
brecht,419000,house,for-sale,2,135,1,0,30,977,135,1174,4,None,To renovate,1
blaasveld,498000,house,for-sale,3,238,1,0,None,None,238,401,3,None,Good,1
zoersel,499000,house,for-sale,3,195,1,0,None,None,195,1353,4,None,Good,1
muizen,545000,house,for-sale,4,311,1,0,None,None,311,974,4,None,Good,None
mechelen,595000,mansion,for-sale,None,None,1,0,None,None,None,89,2,0,Good,None
malle,599900,villa,for-sale,4,240,1,0,None,1000,240,1400,4,None,Good,None
herentals,785000,villa,for-sale,5,333,1,0,None,None,333,3302,4,None,Good,1
duffel,880000,house,for-sale,5,447,1,0,None,None,447,900,4,None,To be done up,None
sint-job-in-t-goor,899000,villa,for-sale,6,505,1,0,62,1460,505,1841,4,None,To be done up,None
balen,1049000,villa,for-sale,3,455,1,0,None,4700,455,6565,4,None,As new,None
borgerhout,184000,apartment,for-sale,2,90,1,None,17,None,90,None,None,0,Good,None
lier,185000,apartment,for-sale,1,50,1,0,None,None,50,None,2,None,None,None
wilrijk,199000,apartment,for-sale,3,88,None,0,3,None,88,None,2,None,To be done up,None
duffel,235000,ground-floor,for-sale,2,88,1,0,15,None,88,None,2,None,Good,None
willebroek,250000,apartment,for-sale,2,98,1,0,142,None,98,None,4,None,None,None
lier,250000,apartment,for-sale,1,63,1,0,10,None,63,None,None,None,None,None
wilrijk,269000,apartment,for-sale,2,89,1,0,16,None,89,None,None,None,Just renovated,None
schoten,269000,apartment,for-sale,2,114,None,0,6,None,114,None,3,None,Good,None
berchem,344000,apartment,for-sale,2,100,1,0,2,None,100,None,3,None,Just renovated,None
antwerp,595000,apartment,for-sale,3,186,1,0,82,None,186,None,4,None,None,None
antwerpen-1,625000,apartment,for-sale,2,190,1,0,None,None,190,None,2,None,Just renovated,None
willebroek,625000,apartment,for-sale,6,264,1,0,None,None,264,None,2,None,To be done up,None
broechem,399000,house,for-sale,3,160,1,0,None,None,160,952,3,None,Good,None
lier,455000,house,for-sale,3,373,1,0,None,275,373,373,3,0,Just renovated,None
zandhoven,291013,duplex,for-sale,2,116,1,0,12,None,116,None,2,None,None,None
grobbendonk,205000,apartment,for-sale,1,73,1,0,4,None,73,None,2,None,Just renovated,None
grobbendonk,315000,penthouse,for-sale,2,104,1,0,15,None,104,None,2,None,Just renovated,None
grobbendonk,975000,house,for-sale,5,550,1,0,None,None,550,2283,None,None,Good,1
antwerp,240000,apartment,for-sale,1,76,1,0,5,None,76,None,2,None,Just renovated,None
bonheiden,850000,house,for-sale,5,230,1,0,12,None,230,445,3,1,None,None
kapellen,985000,villa,for-sale,6,394,1,0,None,None,394,3215,4,None,As new,1
hoboken,275000,apartment,for-sale,3,100,1,0,9,None,100,None,None,None,As new,None
antwerp,225000,house,for-sale,2,110,1,0,None,18,110,90,None,None,As new,None
wilrijk,465000,house,for-sale,4,200,1,0,None,175,200,359,3,None,None,1
willebroek,395000,house,for-sale,5,182,1,0,None,None,182,518,3,None,Good,None
sint-katelijne-waver,485000,house,for-sale,2,203,1,0,None,None,203,829,4,None,Good,None
antwerp,990000,apartment,for-sale,3,184,1,0,15,None,184,None,2,0,Good,None
rumst,225000,house,for-sale,3,165,1,0,None,None,165,298,2,None,To be done up,None
bornem,227000,house,for-sale,3,184,1,0,None,None,184,228,2,None,To renovate,None
schoten,229000,house,for-sale,3,165,1,0,None,50,165,150,2,None,To renovate,None
bornem,245000,house,for-sale,3,141,1,0,None,None,141,130,2,None,Good,None
sint-katelijne-waver,270000,house,for-sale,2,152,1,0,None,300,152,564,4,None,To renovate,None
mechelen,279000,house,for-sale,3,127,1,0,21,None,127,94,2,None,To renovate,None
willebroek,285000,house,for-sale,4,158,1,0,9,220,158,320,3,None,To renovate,None
puurs,285000,house,for-sale,2,163,1,0,None,None,163,562,3,None,To renovate,None
pulle,299000,house,for-sale,3,190,1,0,20,None,190,435,3,None,To renovate,None
bornem,307000,house,for-sale,4,168,1,0,None,None,168,376,3,None,Good,None
mechelen,309000,house,for-sale,2,112,1,0,None,None,112,148,3,None,Good,None
puurs-sint-amands,324000,house,for-sale,4,189,1,0,None,None,189,659,3,None,To renovate,None
hoboken,325000,house,for-sale,3,152,1,0,None,30,152,143,2,None,To be done up,None
brasschaat,329000,house,for-sale,3,135,1,0,None,None,135,425,3,None,To renovate,None
antwerp,329500,house,for-sale,3,138,1,0,20,10,138,75,2,None,As new,None
hoboken,359000,town-house,for-sale,3,144,None,0,12,95,144,173,2,None,Good,None
brecht,385000,house,for-sale,3,150,1,0,24,537,150,613,4,None,To be done up,1
mechelen,429000,house,for-sale,3,138,1,0,13,26,138,153,3,None,Just renovated,None
tisselt,439000,house,for-sale,3,140,1,0,27,None,140,310,3,None,Good,None
niel,445000,house,for-sale,3,314,1,0,None,32,314,336,3,None,Good,None
lier,455000,house,for-sale,3,204,1,0,None,None,204,219,3,None,Good,None
brecht,475000,villa,for-sale,2,124,1,0,None,351,124,485,4,None,Good,1
zoersel,485000,house,for-sale,4,150,1,0,45,683,150,794,4,None,To be done up,None
rijmenam,495000,house,for-sale,6,412,1,0,None,1720,412,2991,4,None,To renovate,None
sint-katelijne-waver,495000,villa,for-sale,4,145,1,0,None,1670,145,2337,4,None,To renovate,None
beerse,520000,house,for-sale,3,162,1,0,None,None,162,1817,4,None,Good,1
